224,224,3,4,4,96,0,4
15,15,2,1,1,512,0,1
15,15,512,1,1,3,0,1
56,56,96,1,1,384,0,1
56,56,384,1,1,96,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,3,0,1
56,56,96,1,1,384,0,1
56,56,384,1,1,96,0,1
28,28,384,1,1,192,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,6,0,1
28,28,192,1,1,768,0,1
28,28,768,1,1,192,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,6,0,1
28,28,192,1,1,768,0,1
28,28,768,1,1,192,0,1
14,14,768,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,12,0,1
14,14,384,1,1,1536,0,1
14,14,1536,1,1,384,0,1
7,7,1536,1,1,768,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,24,0,1
7,7,768,1,1,3072,0,1
7,7,3072,1,1,768,0,1
15,15,2,1,1,512,0,1
15,15,512,1,1,24,0,1
7,7,768,1,1,3072,0,1
7,7,3072,1,1,768,1,1
1,1,768,1,1,1000,0,1
